"Events Management","Менеджер Записей"
"Add New Event","Добавить Запись"
"Timetable","Расписание"
"Edit %1","Редактирование записи %1"
"Save Event","Сохранить запись"
"General Info","Общая информация"
"Enable Event","Активировать запись"
"Started At","Начало записи"
"Started At Time","Начало записи"
"Finished At","Конец записи"
"Finished At Time","Конец записи"
"Appointment Info","Детали записи"
"Delete Appointment","Удалить запись"
"Worker","Сотрудник"
"Service Name","Название записи"
"Client","Клиент"
