"Services","Услуги"
"Service Name","Название услуги"
"New Service", "Новая услуга"
"Duration","Длительность"
"New Service","Новая услуга"
"Add New Service","Добавить услугу"
"Save Service","Сохранить услугу"
"Delete Service","Удалить услугу"
"Edit service %1","Редактирование услуги %1"
"Select price in range","Указать цену в диапазоне"
"Price From","От"
"Price To","До"
"Employees","Сотрудники"
"Add Employee","Добавить сотрудника"
"Employee Name","Имя сотрудника"
"Duration (hours)","Длительность (часы)"
"Duration (minutes)","Длительность (минуты)"
"Master Level","Уровень мастера"
